type,name,year,asset_id,title,artist
life_of_rights,"R&B Classics from Virtue, Destiny's Child, Angie Stone + More",,5076,45.0,
life_of_rights,Simple Minds - Iconic Rock Band Publishing Royalties,,5132,48.0,
partial_10_year,"Catalog Featuring Pop, Country, Christian & Rock",,3655,110.0,
life_of_rights,Pop Hits from Zayn,,5100,13.0,
life_of_rights,Contemporary Christian Hits,,5054,7.0,
life_of_rights,"The Commodores - ""Brick House"" + More - Publishing Royalties",,5107,36.0,
partial_30_year,"Usher's ""Bad Girl"" - Songwriter Royalties",,5073,3.0,
30_year,"Tory Lanez, Playboi Carti, Kelly Rowland and More Hip-Hop and R&B",,5128,17.0,
life_of_rights,Tupac and Big Pun - Songwriter Royalties,,5106,69.0,
life_of_rights,"""Where I Belong"" + More from Building 429",,5103,54.0,
life_of_rights,"James Blunt, Little Mix + More Pop Songwriting Royalties",,5091,49.0,
30_year,"Hip-hop and R&B featuring Lil Wayne, Monica, and DMX",,5109,20.0,
30_year,"Kash Doll - ""Single & Happy"" Songwriter Royalties",,5112,6.0,
life_of_rights,"""Bags"" By Kevin Gates - Publishing Royalties",,5039,2.0,
life_of_rights,SZA's Debut Album - Ctrl - Producer Royalties,,5097,10.0,
life_of_rights,Publishing Royalties from Say Anything,,5095,50.0,
30_year,"Chris Brown, Migos, Bhad Bhabie & More",,5074,31.0,
life_of_rights,Hip-Hop Songwriting Royalties - Amir Obè,,4401,33.0,
life_of_rights,Frankie Ballard - Hit Country Producer Royalties,,5087,30.0,
30_year,Songwriter Royalties from Say Anything,,5088,49.0,
life_of_rights,"James Blunt, Little Mix + More Pop Songwriting Royalties",,5062,49.0,
life_of_rights,"""Nasty Freestyle"" - T-Wayne Artist Royalties",,4925,26.0,
life_of_rights,Songwriter Royalties from Hip-Hop Beats,,5071,10.0,
life_of_rights,90's Tracks from Rob'n'Raz - Songwriter Royalties,,5036,21.0,
life_of_rights,Robbie Rivera House Music Songwriting Royalties,,5077,116.0,
10_year,"Anastacia's ""Paid My Dues"" - Songwriter Royalties",,5063,2.0,
life_of_rights,"Classic Soul and R&B Sampled by Kanye, 50 Cent, and More",,5079,32.0,
30_year,"Pop Songs from G.R.L., WWE Placements + More - Songwriter Royalties",,5060,38.0,
