Listing ID,Sale Price,LTM Multiple,Offer Info,Last 12 Months,3-Year Average,Earnings Since 2020,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Years Remaining,Expiration Date,Marketplace Median,Minimum Bid,Asset ID,YouTube Link,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2011,Earnings Since 2013,Earnings Since 2006,Earnings Since 2018,Earnings Since 2015,Earnings Since 2017,Earnings Since 2009,Earnings Since 2012,Earnings Since 2016,Earnings Since 2001,Earnings Since 2010,Earnings Since 2014
2794,"$6,500",5.94 x LTM,48 offers made by 17 investors,"$1,094",$943,,10.02 Years,,"$6,100","May 24, 2019",Term Advance 10-Year,6.72,"May 24, 2029","$*,***","$6,500",2794,https://www.youtube.com/watch?v=8tEyAAniu5U,,12,,"$49,793",,,,,,,,,,,
4782,"$6,000",12.14 x LTM,15 offers made by 3 investors,$494,—,,1.70 Years,,,,Life of Rights,,,"$*,***",$654,4782,https://www.youtube.com/watch?v=elyJSU0_sE4,,3,$783,,,,,,,,,,,,
4789,"$17,000",7.92 x LTM,7 offers made by 5 investors,"$2,146","$3,280",,3.75 Years,1,,,Life of Rights,,,"$**,***","$4,200",4789,https://www.youtube.com/watch?v=_Wg2phwM2mI,,,,,,,"$11,933",,,,,,,,
4720,"$22,250",8.27 x LTM,64 offers made by 16 investors,"$2,690","$1,745",,22.65 Years,,,,Life of Rights,,,"$**,***","$2,648",4720,https://www.youtube.com/watch?v=_YOvQNgpfXY,,94,,,,,,,,,,,,"$11,618",
4779,"$24,500",16.52 x LTM,41 offers made by 14 investors,"$1,483","$1,351",,32.12 Years,,,,Life of Rights,,,"$**,***","$1,482",4779,https://www.youtube.com/watch?v=aD4IZ6O45G4,,24,,,,,,,,,,,"$29,977",,
4785,"$7,000",2.72 x LTM,2 offers made by 2 investors,"$2,575",—,"$3,465",1.32 Years,,,,Term Advance 10-Year,10.00,"August 30, 2032",—,"$5,000",4785,https://www.youtube.com/watch?v=8y1MfIHqTnE,,15,,,,,,,,,,,,,
3648,"$75,999",11.66 x LTM,17 offers made by 10 investors,"$6,520","$5,664",,23.62 Years,,"$52,118","October 8, 2020",Term Advance 30-Year,28.11,"October 8, 2050","$**,***","$75,000",3648,https://www.youtube.com/watch?v=JlWPpQmjnVQ,,45,,,,,,,,"$41,885",,,,,
4783,"$8,600",4.72 x LTM,7 offers made by 3 investors,"$1,820",—,,2.57 Years,,,,Life of Rights,,,"$*,***","$1,820",4783,https://www.youtube.com/watch?v=XAcUaE-BaQM,"$1,820",50,,,,,,,,,,,,,
3478,"$3,000",4.90 x LTM,55 offers made by 21 investors,$613,$722,,10.13 Years,,"$6,200","March 12, 2020",Term Advance 10-Year,7.54,"March 12, 2030","$*,***","$3,000",3478,https://www.youtube.com/watch?v=OR2LXXIX8ro,,4,,,,,,,,"$12,117",,,,,
3700,"$29,000",8.55 x LTM,45 offers made by 14 investors,"$3,393","$5,491",,6.00 Years,1,"$50,300","April 21, 2020",Life of Rights,,,"$**,***","$22,652",3700,https://www.youtube.com/watch?v=FKQ7NUhym94,,,,,,,,,,,,"$48,347",,,
4780,"$20,300",4.71 x LTM,15 offers made by 6 investors,"$4,310","$4,451",,3.56 Years,,,,Life of Rights,,,—,"$18,000",4780,https://www.youtube.com/watch?v=MssBVuguSzg,,269,,,,,,"$21,032",,,,,,,
4781,"$37,000",3.65 x LTM,,"$10,140","$4,660",,1.83 Years,,,,Life of Rights,,,—,"$10,140",4781,https://www.youtube.com/watch?v=RbnsFFJxA2Y,,36,,,,,,,,,,"$18,562",,,
4774,"$17,500",4.94 x LTM,8 offers made by 4 investors,"$3,540","$4,338",,3.02 Years,,,,Life of Rights,,,—,"$3,545",4774,,,97,"$13,014",,,,,,,,,,,,
4765,"$525,000",5.01 x LTM,15 offers made by 4 investors,"$104,800","$127,280",,4.76 Years,,,,Life of Rights,,,"$***,***","$360,000",4765,https://www.youtube.com/watch?v=5XK4v2fgMPU,,25,,,,,,,"$681,252",,,,,,
4775,"$29,000",7.81 x LTM,6 offers made by 5 investors,"$3,715","$3,222",,5.83 Years,,,,Life of Rights,,,"$**,***","$3,902",4775,https://www.youtube.com/watch?v=CmukS2gicNc,,4,,,,,,,,,"$12,892",,,,
4742,"$75,000",3.35 x LTM,19 offers made by 5 investors,"$22,416",—,,1.26 Years,,,,Life of Rights,,,"$**,***","$30,000",4742,https://www.youtube.com/watch?v=iMKcWsUjdzg,"$22,455",2,,,,,,,,,,,,,
4748,"$30,000",4.19 x LTM,10 offers made by 5 investors,"$7,152","$6,405",,2.51 Years,,,,Life of Rights,,,"$**,***","$12,000",4748,https://www.youtube.com/watch?v=Qqlw8iQeTHs,,3,,,"$19,341",,,,,,,,,,
4743,"$10,500",9.39 x LTM,23 offers made by 10 investors,"$1,118","$1,596",,9.15 Years,,,,Term Advance 30-Year,30.00,"August 18, 2052","$**,***","$1,120",4743,https://www.youtube.com/watch?v=IiDOyQCCpKs,,51,,,,,,,,"$18,169",,,,,
4761,"$75,000",9.43 x LTM,15 offers made by 8 investors,"$7,957","$6,631",,8.34 Years,,,,Life of Rights,,,"$**,***","$7,891",4761,https://www.youtube.com/watch?v=hwyAkd5oOG4,,53,,,"$32,757",,,,,,,,,,
4749,"$14,000",8.81 x LTM,22 offers made by 7 investors,"$1,590","$2,167",,4.04 Years,,,,Life of Rights,,,"$*,***","$1,590",4749,https://www.youtube.com/watch?v=yHizDQcJcYs,,4,,,,,"$10,015",,,,,,,,
4762,"$62,500",4.55 x LTM,13 offers made by 2 investors,"$13,729","$5,616",,39.05 Years,,,,Term Advance 30-Year,30.00,"August 14, 2052","$**,***","$40,000",4762,https://www.youtube.com/watch?v=KC5H9P4F5Uk,,2,,,,,,,"$28,248",,,,,,
4660,"$6,000",8.79 x LTM,18 offers made by 7 investors,$682,"$1,434",,5.93 Years,,"$12,393","May 3, 2022",Life of Rights,,,—,"$6,000",4660,,,57,,,,,,,,,"$35,210",,,,
4740,"$21,950",4.64 x LTM,18 offers made by 5 investors,"$4,734","$4,692",,3.64 Years,,,,Life of Rights,,,"$**,***","$4,734",4740,https://www.youtube.com/watch?v=emswS81CXuo,,20,,,,,,,,,,"$27,413",,,
4435,"$38,500",10.06 x LTM,20 offers made by 6 investors,"$3,826","$5,846",,6.93 Years,,"$35,000","November 10, 2021",Life of Rights,,,—,"$5,688",4435,,,2293,,,,,,,,,,,,,"$65,192"
4754,"$31,000",5.66 x LTM,21 offers made by 6 investors,"$5,477","$5,263",,3.84 Years,,,,Life of Rights,,,"$**,***","$15,000",4754,https://www.youtube.com/watch?v=03SeeJcQu9c,,21,,,,,,,"$28,984",,,,,,
4699,"$60,000",4.37 x LTM,33 offers made by 10 investors,"$13,729","$5,616",,39.05 Years,,,,Term Advance 30-Year,30.00,"August 8, 2052","$**,***","$30,000",4699,https://www.youtube.com/watch?v=KC5H9P4F5Uk,,2,,,,,,,"$28,248",,,,,,
4717,"$104,000",2.99 x LTM,27 offers made by 6 investors,"$34,798",—,"$53,124",1.85 Years,,,,Life of Rights,,,"$**,***","$95,000",4717,https://www.youtube.com/watch?v=6MCSr65d9Xc,,9,,,,,,,,,,,,,
4738,"$207,500",10.83 x LTM,38 offers made by 8 investors,"$19,157","$18,298",,27.38 Years,,,,Life of Rights,,,"$***,***","$100,000",4738,https://www.youtube.com/watch?v=cmXZOI7cM0M,,26,,,,,"$62,031",,,,,,,,
4735,"$12,500",1.88 x LTM,5 offers made by 3 investors,"$6,651",—,"$6,926",2.38 Years,1,"$10,500","June 15, 2022",Life of Rights,,,—,"$12,000",4735,https://www.youtube.com/watch?v=Md_1f-DQFss,,,,,,,,,,,,,,,
3999,"$18,500",9.66 x LTM,20 offers made by 10 investors,"$1,915","$2,996",,5.89 Years,,"$20,000","January 25, 2021",Life of Rights,,,"$**,***","$15,500",3999,https://www.youtube.com/watch?v=4kRQh8ZNiJk,,6,,,,,,,,,,"$29,614",,,
4727,"$19,250",11.19 x LTM,24 offers made by 7 investors,"$1,720","$1,456",,8.59 Years,,,,Term Advance 30-Year,30.00,"August 5, 2052","$**,***","$1,670",4727,https://www.youtube.com/watch?v=bRChz-OYi9o,,6,,,,,,"$11,648",,,,,,,
4746,"$62,000",11.16 x LTM,45 offers made by 12 investors,"$5,556","$5,612",,10.82 Years,,,,Life of Rights,,,"$**,***","$5,556",4746,https://www.youtube.com/watch?v=3n71KUiWn1I,,8,,,,,"$20,799",,,,,,,,
4731,"$125,000",8.18 x LTM,12 offers made by 4 investors,"$15,283","$18,992",,6.01 Years,,,,Life of Rights,,,"$***,***","$60,000",4731,https://www.youtube.com/watch?v=_mVJJvx04_w,,83,,,,,,,"$133,049",,,,,,
4744,"$6,850",4.45 x LTM,16 offers made by 5 investors,"$1,539","$3,045",,2.75 Years,,,,Life of Rights,,,"$*,***","$1,539",4744,https://www.youtube.com/watch?v=ikstfQbfOMw,,47,,,,,,,"$10,306",,,,,,
4706,"$16,200",4.52 x LTM,23 offers made by 5 investors,"$3,585","$1,468",,9.86 Years,,,,Life of Rights,,,"$**,***","$3,585",4706,https://www.youtube.com/watch?v=uD6puZoVmtY,,6,,,,,,,,,"$20,342",,,,
4220,"$888,889",11.40 x LTM,39 offers made by 13 investors,"$77,986","$60,312",,19.96 Years,,,,Life of Rights,,,—,"$675,000",4220,https://www.youtube.com/watch?v=sahPC4l1Y3c,,768,,,,,,,,,,,,"$691,432",
4739,"$5,000",4.71 x LTM,7 offers made by 4 investors,"$1,061",$842,,2.30 Years,,,,Life of Rights,,,—,"$1,061",4739,,,410,,,,,,,"$2,891",,,,,,
4736,"$5,800",2.21 x LTM,2 offers made by 2 investors,"$2,625","$1,427",,1.75 Years,,,,Life of Rights,,,—,"$2,625",4736,,,163,,,,,"$4,490",,,,,,,,
4730,"$14,980",14.96 x LTM,4 offers made by 3 investors,"$1,001",$919,,4.66 Years,,"$8,000","July 2, 2022",Life of Rights,,,"$*,***","$12,000",4730,https://www.youtube.com/watch?v=SZoVr75GWFM,,41,,,,,,"$5,603",,,,,,,
4714,"$129,275",2.88 x LTM,9 offers made by 3 investors,"$44,833",—,,2.26 Years,,,,Term Advance 10-Year,10.00,"July 25, 2032","$***,***","$88,000",4714,https://www.youtube.com/watch?v=pEBES1ezTZY,,10,"$125,998",,,,,,,,,,,,
4715,"$30,000",2.71 x LTM,6 offers made by 5 investors,"$11,059",—,"$15,926",1.36 Years,,,,Term Advance 10-Year,10.00,"July 24, 2032","$**,***","$17,000",4715,https://www.youtube.com/watch?v=pqydBaa1QR8,,5,,,,,,,,,,,,,
4728,"$23,600",2.72 x LTM,36 offers made by 5 investors,"$8,677",—,,1.00 Years,1,,,Term Advance 30-Year,30.00,"July 23, 2052",—,"$6,571",4728,https://www.youtube.com/watch?v=iMKcWsUjdzg,"$8,677",,,,,,,,,,,,,,
